Rank	Score	Type	ID	Name	Description
1	99.93	oe	ccsbBroad304_03445	UGT1A1	UDP glucuronosyltransferases
2	99.66	cp	BRD-K03406345	azacitidine	DNA methyltransferase inhibitor
3	99.64	oe	ccsbBroad304_02566	MORF4L1	-
4	99.6	kd	CGS001-79921	TCEAL4	-
5	99.47	kd	CGS001-1504	CTRB1	-
6	99.34	oe	ccsbBroad304_00654	GNB1	WD repeat domain containing
7	99.3	oe	ccsbBroad304_05417	P2RY8	GPCR / Class A : Purinergic receptors, P2Y
8	99.22	kd	CGS001-2553	GABPB1	Ankyrin repeat domain containing
9	99.19	oe	ccsbBroad304_11738	BRD4	Bromodomain kinase (BRDK) family
10	99.18	oe	ccsbBroad304_02784	SUZ12	Zinc fingers, C2H2-type
11	99.12	kd	CGS001-5612	PRKRIR	THAP (C2CH-type zinc finger) domain containing
12	98.92	cp	BRD-K67506692	tyrphostin-AG-126	ERK1 and ERK2 phosphorylation inhibitor
13	98.9	oe	ccsbBroad304_01992	B4GALT3	Beta 4-glycosyltransferases
14	98.89	cp	BRD-K71035033	masitinib	KIT inhibitor
15	98.78	kd	CGS001-50943	FOXP3	Forkhead boxes
16	98.78	oe	ccsbBroad304_00554	FGB	Endogenous ligands
17	98.62	oe	ccsbBroad304_02205	WTAP	-
18	98.35	cp	BRD-K53959060	indirubin	CDK inhibitor
19	98.25	cp	BRD-K22828899	TUL-XXI039	Serine/threonine kinase inhibitor
20	98.21	kd	CGS001-342926	ZNF677	Zinc fingers, C2H2-type
21	98.2	oe	ccsbBroad304_06453	ING2	Zinc fingers, PHD-type
22	98.1	cp	BRD-K36862742	hydroflumethiazide	Sodium/potassium/chloride transporter inhibitor
23	98.07	kd	CGS001-7077	TIMP2	-
24	98.02	cp	BRD-K46937689	phenazone	Cyclooxygenase inhibitor
25	97.94	kd	CGS001-5534	PPP3R1	EF-hand domain containing
26	97.93	cp	BRD-K26134695	calpeptin	Calpain inhibitor
27	97.65	cp	BRD-A87719232	naproxen	Cyclooxygenase inhibitor
28	97.5	oe	ccsbBroad304_06365	HIF1A	Basic helix-loop-helix proteins
29	97.44	kd	CGS001-2004	ELK3	ETS Transcription Factors
30	97.41	kd	CGS001-2674	GFRA1	GDNF receptor family
31	97.4	kd	CGS001-9564	BCAR1	Cas scaffolding proteins
32	97.4	kd	CGS001-344	APOC2	Apolipoproteins
33	97.27	kd	CGS001-2783	GNB2	WD repeat domain containing
34	97.27	kd	CGS001-56521	DNAJC12	Heat shock proteins / DNAJ (HSP40)
35	97.18	oe	ccsbBroad304_05309	OR52B2	GPCR / Class A : Olfactory receptors
36	97.01	kd	CGS001-83551	TAAR8	GPCR / Class A : Trace amine associated receptors
37	96.94	oe	ccsbBroad304_04525	TGIF2LY	Homeoboxes / TALE class
38	96.94	cp	BRD-K06080977	eicosatetraynoic-acid	Cyclooxygenase inhibitor
39	96.76	kd	CGS001-6535	SLC6A8	GABA transporter subfamily
40	96.41	oe	ccsbBroad304_04933	GPR119	GPCR / Class A : Orphans
41	96.41	kd	CGS001-5715	PSMD9	Proteasome (prosome, macropain) subunits
42	96.4	cp	BRD-K83144676	olmesartan	Angiotensin antagonist
43	95.89	oe	ccsbBroad304_02772	ICMT	-
44	95.85	oe	ccsbBroad304_05123	ZNF791	Zinc fingers, C2H2-type
45	95.75	cp	BRD-K41337261	ZM-306416	ABL inhibitor
46	95.46	kd	CGS001-1386	ATF2	basic leucine zipper proteins
47	95.42	oe	ccsbBroad304_00279	CDK6	Cyclin-dependent kinases, CDK4 subfamily
48	95.4	cp	BRD-K65814004	diphenyleneiodonium	Nitric oxide synthase inhibitor
