Rank	Score	Type	ID	Name	Description
1	99.59	kd	CGS001-7423	VEGFB	-
2	99.49	oe	ccsbBroad304_06255	LRRC32	-
3	99.42	kd	CGS001-11162	NUDT6	Nudix motif containing
4	99.35	cp	BRD-K83794624	pirarubicin	Topoisomerase inhibitor
5	99.19	kd	CGS001-6622	SNCA	Parkinson disease
6	99.01	cp	BRD-A11702965	chromomycin-a3	DNA binding agent
7	98.63	cp	BRD-K39944607	ochratoxin-a	Phenylalanyl tRNA synthetase inhibitor
8	98.57	kd	CGS001-9650	MTFR1	-
9	98.54	kd	CGS001-84547	PGBD1	-
10	98.31	cp	BRD-K27499107	carbacyclin	IP receptor activator
11	98.2	kd	CGS001-5516	PPP2CB	Serine/threonine phosphatases / Protein phosphatase, catalytic subunits
12	98.16	kd	CGS001-593	BCKDHA	-
13	98.15	kd	CGS001-182	JAG1	CD molecules
14	98.07	kd	CGS001-5091	PC	Carboxylases
15	97.93	oe	ccsbBroad304_02751	SATB2	Homeoboxes / CUT class
16	97.87	cp	BRD-K12120659	GR-144053	Integrin antagonist
17	97.55	kd	CGS001-9641	IKBKE	IKK family
18	97.51	oe	ccsbBroad304_03524	PLEKHJ1	Pleckstrin homology (PH) domain containing
19	97.48	kd	CGS001-4302	MLLT6	Zinc fingers, PHD-type
20	97.47	oe	ccsbBroad304_00262	CD59	CD molecules
21	97.43	kd	CGS001-840	CASP7	Caspases
22	97.28	kd	CGS001-978	CDA	-
23	97.09	cp	BRD-K19220233	JNK-9L	JNK inhibitor
24	97.08	kd	CGS001-50865	HEBP1	Endogenous ligands
25	97.06	oe	ccsbBroad304_03148	IL21R	IL-2 receptor family
26	97.05	kd	CGS001-27199	OXGR1	GPCR / Class A : Orphans, Oxoglutarate receptor
27	97.02	cp	BRD-A52326238	isogedunin	HSP inhibitor
28	96.97	cp	BRD-U51951544	ZG-10	JNK inhibitor
29	96.87	kd	CGS001-55847	CISD1	CDGSH iron sulfur domain containing
30	96.85	kd	CGS001-124961	ZFP3	Zinc fingers, C2H2-type
31	96.75	kd	CGS001-10971	YWHAQ	-
32	96.71	cp	BRD-K86930074	cediranib	KIT inhibitor
33	96.5	oe	ccsbBroad304_07651	HEXIM1	-
34	96.46	oe	ccsbBroad304_02378	STUB1	Tetratricopeptide (TTC) repeat domain containing
35	96.39	cp	BRD-K60762818	desipramine	Tricyclic antidepressant
36	96.28	oe	ccsbBroad304_06349	HAGH	-
37	96.17	kd	CGS001-10061	ABCF2	ATP binding cassette transporters / subfamily F
38	96.12	oe	ccsbBroad304_07528	DMTF1	-
39	95.96	cp	BRD-K68246049	TTNPB	Retinoid receptor agonist
40	95.86	cp	BRD-M16762496	PIK-75	DNA protein kinase inhibitor
41	95.81	cp	BRD-K51967704	BIIB021	HSP inhibitor
42	95.72	kd	CGS001-23196	FAM120A	-
43	95.7	oe	ccsbBroad304_03047	BZW2	-
44	95.67	kd	CGS001-55148	UBR7	Ubiquitin protein ligase E3 component n-recognins
45	95.55	kd	CGS001-55423	SIRPG	Immunoglobulin superfamily / C1-set domain containing
46	95.55	kd	CGS001-85004	RERG	-
47	95.42	cp	BRD-K96144918	mead-acid	KPL-1 tumor suppressor
48	95.4	oe	ccsbBroad304_00648	GLRX	-
49	95.24	kd	CGS001-6944	VPS72	-
50	95.14	kd	CGS001-5915	RARB	Retinoic acid receptors
51	94.84	kd	CGS001-5087	PBX1	Homeoboxes / TALE class
52	94.74	kd	CGS001-91137	SLC25A46	Miscellaneous SLC25 mitochondrial transporters
53	94.72	oe	ccsbBroad304_00851	IL6R	IL-6 receptor family
54	94.63	cp	BRD-K22662435	ganciclovir	DNA polymerase inhibitor
55	94.53	cp	BRD-K85503079	perospirone	Dopamine receptor antagonist
56	94.52	oe	ccsbBroad304_01673	TIMP3	-
57	94.51	cp	BRD-K69650333	idarubicin	Topoisomerase inhibitor
58	94.41	kd	CGS001-2538	G6PC	-
59	94.14	oe	ccsbBroad304_08613	KLHL9	BTB/POZ domain containing
60	94.04	cp	BRD-K25310650	ormetoprim	Bacterial antifolate
61	93.94	oe	ccsbBroad304_05313	NUDT14	Nudix motif containing
62	93.87	oe	ccsbBroad304_06188	F10	Chymotrypsin
63	93.8	oe	ccsbBroad304_01720	TSTA3	Short chain dehydrogenase/reductase superfamily / Extended SDR fold
64	93.69	oe	ccsbBroad304_08426	TEX10	-
65	93.68	kd	CGS001-871	SERPINH1	Serine (or cysteine) peptidase inhibitors
66	93.61	cp	BRD-K93658967	aloisine	CDK inhibitor
67	93.6	oe	ccsbBroad304_07724	KDELR2	-
68	93.6	kd	CGS001-23314	SATB2	Homeoboxes / CUT class
69	93.47	cp	BRD-K95785537	PP-2	SRC inhibitor
70	93.36	oe	ccsbBroad304_04406	PLA2G12B	-
71	93.14	cp	BRD-K56509348	BMS-182874	Endothelin receptor antagonist
72	93.11	cp	BRD-K15563106	phloretin	Sodium/glucose cotransporter inhibitor
73	93.07	kd	CGS001-79088	ZNF426	Zinc fingers, C2H2-type
74	93.05	kd	CGS001-2118	ETV4	ETS Transcription Factors
75	92.85	kd	CGS001-83440	ADPGK	-
76	92.69	oe	ccsbBroad304_02220	MTFR1	-
77	92.64	kd	CGS001-60468	BACH2	BTB/POZ domain containing
78	92.59	cp	BRD-K65910366	KUC103904N	-666
79	92.48	kd	CGS001-275	AMT	-
80	92.47	kd	CGS001-8681	JMJD7-PLA2G4B	-
81	92.42	oe	ccsbBroad304_01930	CUL2	-
82	92.37	kd	CGS001-8833	GMPS	-
83	92.2	kd	CGS001-472	ATM	Other PIKK family kinases
84	92.15	kd	CGS001-10227	MFSD10	-
85	92.06	cp	BRD-K71003802	hippeastrine	Plant alkaloid
