Rank	Score	Type	ID	Name	Description
1	99.79	cp	BRD-K08554278	bisbenzimide	DNA binding agent
2	99.72	kd	CGS001-2288	FKBP4	Tetratricopeptide (TTC) repeat domain containing
3	99.7	oe	ccsbBroad304_06450	ILK	Ankyrin repeat domain containing
4	99.7	kd	CGS001-7301	TYRO3	Type XI RTKs: TAM (TYRO3-, AXL- and MER-TK) receptor family
5	99.63	cp	BRD-K69690935	curcumin	Cyclooxygenase inhibitor
6	99.49	kd	CGS001-1843	DUSP1	Protein tyrosine phosphatases / Class I Cys-based PTPs : MAP kinase phosphatases
7	99.43	oe	ccsbBroad304_00734	HDAC1	Histone deacetylases
8	99.19	cp	BRD-A79237180	ascorbic-acid	Antioxidant
9	98.92	oe	ccsbBroad304_02506	EBP	-
10	98.9	cp	BRD-K13566078	BMS-345541	IKK inhibitor
11	98.85	cp	BRD-K31843556	T-0070907	PPAR receptor antagonist
12	98.84	cp	BRD-A11702965	chromomycin-a3	DNA binding agent
13	98.84	cp	BRD-K54704028	BAY-36-7620	Glutamate receptor antagonist
14	98.8	cp	BRD-A32949107	MRS-1845	Calcium channel blocker
15	98.7	kd	CGS001-9121	SLC16A5	SLC16 family of monocarboxylate transporters
16	98.56	kd	CGS001-7760	ZNF213	Zinc fingers, C2H2-type
17	98.53	oe	ccsbBroad304_06149	EIF4B	RNA binding motif (RRM) containing
18	98.48	kd	CGS001-55148	UBR7	Ubiquitin protein ligase E3 component n-recognins
19	98.45	cp	BRD-K79124250	ioxaglic-acid	Radiopaque medium
20	98.44	kd	CGS001-27199	OXGR1	GPCR / Class A : Orphans, Oxoglutarate receptor
21	98.44	kd	CGS001-4302	MLLT6	Zinc fingers, PHD-type
22	98.38	oe	ccsbBroad304_02822	ARFIP2	-
23	98.24	cp	BRD-K92093830	doxorubicin	Topoisomerase inhibitor
24	98.16	oe	ccsbBroad304_07326	EIF2B2	-
25	97.92	cp	BRD-K97061094	azacyclonol	Histamine receptor antagonist
26	97.92	kd	CGS001-1874	E2F4	-
27	97.86	kd	CGS001-55802	DCP1A	-
28	97.84	oe	ccsbBroad304_00526	EZH2	Chromatin-modifying enzymes / K-methyltransferases
29	97.29	kd	CGS001-6812	STXBP1	-
30	97.22	kd	CGS001-23596	OPN3	GPCR / Class A : Opsin receptors
31	97.19	cp	BRD-A15530910	carpindolol	Adrenergic receptor antagonist
32	97.13	cp	BRD-K63165456	norcyclobenzaprine	Adrenergic receptor agonist
33	97.11	cp	BRD-K26573499	DMAB-anabaseine	Adrenergic receptor agonist
34	97.03	oe	ccsbBroad304_04649	ADC	-
35	96.82	cp	BRD-K69650333	idarubicin	Topoisomerase inhibitor
36	96.66	cp	BRD-K11717138	benzbromarone	Chloride channel blocker
37	96.48	kd	CGS001-3109	HLA-DMB	Immunoglobulin superfamily / C1-set domain containing
38	96.34	kd	CGS001-4723	NDUFV1	Mitochondrial respiratory chain complex / Complex I
39	96.33	cp	BRD-A31800922	procyclidine	Acetylcholine receptor antagonist
40	96.31	kd	CGS001-2243	FGA	Endogenous ligands
41	96.19	kd	CGS001-10552	ARPC1A	Actin related protein 2/3 complex subunits
42	96.14	kd	CGS001-148327	CREB3L4	basic leucine zipper proteins
43	96.13	kd	CGS001-2589	GALNT1	Glycosyltransferase family 2 domain containing
44	96.06	cp	BRD-K49404994	levetiracetam	Calcium channel blocker
45	95.98	oe	ccsbBroad304_06624	NDUFC2	Mitochondrial respiratory chain complex / Complex I
46	95.93	kd	CGS001-2878	GPX3	-
47	95.88	cp	BRD-A58048407	nimodipine	Calcium channel blocker
48	95.88	kd	CGS001-8837	CFLAR	Endogenous ligands
49	95.82	kd	CGS001-5535	PPP3R2	EF-hand domain containing
50	95.75	cp	BRD-K13390322	AT-7519	CDK inhibitor
51	95.74	cp	BRD-K43389675	daunorubicin	RNA synthesis inhibitor
52	95.68	oe	ccsbBroad304_01332	PTGER4	GPCR / Class A : Prostanoid receptors
53	95.66	cp	BRD-A73680854	PT-630	Dipeptidyl peptidase inhibitor
54	95.6	kd	CGS001-8692	HYAL2	-
55	95.53	kd	CGS001-6097	RORC	Retinoic acid-related orphans
56	95.51	cp	BRD-K82731415	olomoucine	CDK inhibitor
57	95.4	cp	BRD-K14767410	SC-560	Cyclooxygenase inhibitor
58	95.4	kd	CGS001-9833	MELK	MELK subfamily
59	95.35	oe	ccsbBroad304_07880	SIRT5	Histone deacetylases
60	95.19	cp	BRD-U51951544	ZG-10	JNK inhibitor
61	95.14	oe	ccsbBroad304_08170	PIK3R4	Phosphatidylinositol kinases
62	94.98	oe	ccsbBroad304_03387	NUDT9	Nudix motif containing
63	94.94	kd	CGS001-831	CAST	-
64	94.92	cp	BRD-K85015012	NNC-05-2090	GAT inhibitor
65	94.86	kd	CGS001-2805	GOT1	-
66	94.71	oe	ccsbBroad304_08536	PARL	-
67	94.64	kd	CGS001-3456	IFNB1	Interferons
68	94.62	oe	ccsbBroad304_03910	CCDC90A	-
69	94.62	kd	CGS001-11182	SLC2A6	Solute carriers
70	94.6	cp	BRD-K29673530	hypericin	Tyrosine kinase inhibitor
71	94.49	kd	CGS001-1432	MAPK14	MAPK:p38 subfamily
72	94.4	kd	CGS001-5159	PDGFRB	Type III RTKs: PDGFR, CSFR, Kit, FLT3 receptor family
73	94.31	kd	CGS001-2159	F10	Chymotrypsin
74	94.3	kd	CGS001-3717	JAK2	Janus kinase (JakA) family
75	94.16	oe	ccsbBroad304_04626	EGLN3	-
76	94.11	kd	CGS001-4487	MSX1	Homeoboxes / ANTP class : NKL subclass
77	93.9	cp	BRD-A91008255	bepridil	Calcium channel blocker
78	93.87	kd	CGS001-6776	STAT5A	SH2 domain containing
79	93.86	oe	ccsbBroad304_05422	VN1R5	GPCR / Unclassified : Vomeronasal receptors, type 1
80	93.78	oe	ccsbBroad304_02538	RUVBL2	ATPases / AAA-type
81	93.62	oe	ccsbBroad304_02109	XPR1	-
82	93.6	kd	CGS001-118738	ZNF488	Zinc fingers, C2H2-type
83	93.59	cp	BRD-K46862739	metyrapone	Cytochrome P450 inhibitor
84	93.57	cp	BRD-A16700644	isoxsuprine	Adrenergic receptor agonist
85	93.53	kd	CGS001-8312	AXIN1	Serine/threonine phosphatases / Protein phosphatase 1, regulatory subunits
86	93.52	kd	CGS001-4671	NAIP	Inhibitors of apoptosis (IAP) protein family
