"","Tgfa_parent_baseMean","Tgfa_parent_log2FoldChange","Tgfa_parent_lfcSE","Tgfa_parent_stat","Tgfa_parent_pvalue","Tgfa_parent_padj","Tgfa_mut_baseMean","Tgfa_mut_log2FoldChange","Tgfa_mut_lfcSE","Tgfa_mut_stat","Tgfa_mut_pvalue","Tgfa_mut_padj"
"XKR4",31.3153470833093,-2.82451598657309,0.33644721407667,-8.22107116035931,2.01693540590184e-16,1.14382907081357e-15,19.2083748486869,-1.53396113709317,0.31379069974716,-4.79254675784699,1.64677375098125e-06,9.61880162888038e-06
"RP1",27.0002135101056,1.95600767806419,0.332498787303751,5.81077843070679,6.21830185235193e-09,2.09799167205131e-08,25.6338637200562,1.07678206373619,0.296235219854203,3.61350596010378,0.000302084408125903,0.00114218998713195
"SOX17",424.687644631983,0.51509298504211,0.0843603873901011,6.10553591448409,1.02456311973099e-09,3.66897409283858e-09,353.385652870446,0.293325790927611,0.105435689124634,2.78184706103934,0.00540505045473253,0.0146387597064567
"RNU6-840P",1.5975202321012,-0.843336064565507,0.654833723824982,-1.26445559272657,0.206066550008573,0.266139613393788,2.10234954669621,-0.334465399464564,0.347442871713728,-0.954931333127693,0.339612423208026,0.461353303638348
"MRPL15",2203.61948781962,0.606860698530174,0.063870066040201,9.50140226648197,2.07082654826267e-21,1.5415279978813e-20,1894.01126399544,0.233964445552937,0.0689222621846338,3.3946193594567,0.000687240759112326,0.00236735566480706
"LYPLA1",9586.37815018119,0.849928298055407,0.0747123878797358,11.3759613127623,5.50924571341136e-30,6.36137481492649e-29,8812.26505444771,0.304666004447598,0.123778229265325,2.46138878264913,0.0138400300060871,0.0330467372520685
"TCEA1",2569.53961123319,0.191737658286377,0.0414377500131003,4.62711800715542,3.70789264323e-06,9.68607480565427e-06,2051.57482965648,0.136049768551255,0.0774704670051057,1.75615672557842,0.0790616514737336,0.143147624098613
"RGS20",3.09022591496946,-1.5789553671737,0.627564661176453,-2.43578341832949,0.0148595786627209,0.0245659127615355,3.16353032982686,-0.172910025472674,0.372775331190267,-0.466733744062312,0.640690384192543,0.740747926478826
"ATP6V1H",5546.20101488115,0.185910845852679,0.0848303613001002,2.19156173285272,0.0284111676329548,0.0446766251624739,4637.25719275857,-0.0404889813327715,0.0653208128005738,-0.619849561486433,0.535356835448238,0.650817442590493
"OPRK1",0.276847585683167,-0.217778277877477,0.426822222782767,-0.508932577802905,0.610799483893999,NA,0.136973904334665,-0.0328131781521459,0.15598975903094,-0.210358381132151,0.833387972914563,NA
"NPBWR1",0.453981241744948,-0.181441694988173,0.508779213115494,-0.396704379821346,0.691585470024821,NA,0,NA,NA,NA,NA,NA
"RB1CC1",4390.66958926037,0.262103856621419,0.0398184756830414,6.58245839471407,4.62732316372429e-11,1.84154083401374e-10,3519.84490119238,0.257361621519883,0.0626055412905533,4.1108321699526,3.94235685597799e-05,0.000178405931634656
"ALKAL1",0.252920659671914,-0.217778277877477,0.426822222782767,-0.495681768787641,0.620118951818644,NA,0.143307335200963,-0.0328131781521459,0.15598975903094,-0.21035838113215,0.833387972914563,NA
"ST18",10.9333298437402,-4.03042919570101,0.57990181183476,-5.65089465370813,1.59614894558323e-08,5.18352012708859e-08,2.92123574713884,-1.24325811431916,0.358796815047794,-3.77313319700576,0.000161210164849596,0.000643809739079603
"PCMTD1",5514.19237449139,0.577289842696082,0.0462353483500622,12.485853546135,8.91817706237798e-36,1.3018049717473e-34,4912.50816036966,0.30315322369049,0.100158436444043,3.02673571118179,0.00247209996932131,0.00736031671437977
"SNTG1",13.9293702631431,2.89456005687605,0.520746406747822,5.13774738187885,2.78051310349502e-07,8.14178235119309e-07,22.3579360870496,0.871968560036062,0.346739318607367,2.50608938420218,0.0122074755291254,0.0296667480988704
"RRS1",939.458279013659,-0.0475083095678545,0.0649388228992965,-0.731586055605128,0.464421261902194,0.535978410073489,752.438841192583,-0.0222906878804074,0.0840727451913675,-0.265135582298331,0.790905017192321,0.857624395722652
"ADHFE1",7987.60145851087,1.11757178179357,0.0884596313459061,12.6335964937432,1.37831540235508e-36,2.07169782507241e-35,8124.82323769876,0.305212020717119,0.115099722236517,2.65172075983624,0.0080082742147062,0.0205774068112492
"VXN",8.18417254428361,-0.265526342373279,0.471058667432187,-0.563250693495444,0.573264187867003,0.638805683568315,7.50964353180259,-0.275441503318352,0.378786448392252,-0.724994767448963,0.468455240508967,0.589670542096951
"MYBL1",197.177658669817,-0.951053303901671,0.155381964659862,-6.11962482827254,9.37959288884901e-10,3.36961015594823e-09,151.749391754561,-0.512358634152135,0.134961771117273,-3.79531744926858,0.000147454660207112,0.000593302133472268
"VCPIP1",2767.51372004923,-0.140278191853912,0.0487348080995775,-2.87839731533881,0.00399701381468726,0.007239282176832,2147.15346415294,0.0114233630541633,0.0698311928903309,0.163585693708858,0.870057307746955,0.913002795526945
"SGK3",1985.86828427437,0.155391253922057,0.0623208434567106,2.49339865554388,0.0126526698065593,0.0211940323019352,1722.30272107738,0.137885512491943,0.0938784220838356,1.46877221413541,0.141894582925425,0.2313911444768
